1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.061487,0.057959,0.055831,0.05448,0.053864,0.054188,0.055947,0.060038,0.067916,0.081773,0.10472,0.14104,0.19627,0.27738,0.3928,0.55236,0.76722,1.0497,1.4132,1.8719,2.4403,3.1336,3.9667,4.9548,6.1122,7.4532,8.9908,10.738,12.705,14.903,17.341,20.026,22.966,26.166,29.629,33.359,37.357,41.624,46.158,50.959,56.022,61.345,66.922,72.748,78.817,85.121,91.652,98.4,104.63
0.057521,0.052927,0.05043,0.049005,0.048808,0.050645,0.056107,0.06785,0.089945,0.12829,0.19098,0.2887,0.4349,0.64584,0.94056,1.3407,1.8701,2.5546,3.4216,4.4993,5.8164,7.4017,9.2835,11.489,14.045,16.975,20.301,24.046,28.225,32.855,37.949,43.518,49.57,56.109,63.14,70.663,78.677,87.177,96.158,105.61,115.53,125.9,136.71,147.95,159.6,171.64,184.06,196.83,208.58
0.054579,0.049428,0.047196,0.046705,0.048741,0.05558,0.07134,0.10254,0.15874,0.25322,0.40334,0.631,0.9625,1.4284,2.063,2.904,3.9914,5.3672,7.0741,9.155,11.652,14.606,18.056,22.037,26.584,31.725,37.486,43.891,50.956,58.697,67.123,76.242,86.056,96.564,107.76,119.65,132.2,145.42,159.28,173.76,188.86,204.53,220.77,237.55,254.83,272.6,290.82,309.44,326.44
0.052018,0.046455,0.045082,0.04728,0.05572,0.076319,0.1191,0.19919,0.33771,0.56246,0.90793,1.4155,2.1324,3.1111,4.4079,6.0817,8.1926,10.801,13.964,17.739,22.179,27.331,33.239,39.941,47.469,55.849,65.104,75.247,86.288,98.231,111.08,124.82,139.44,154.94,171.29,188.46,206.45,225.21,244.73,264.95,285.87,307.42,329.59,352.32,375.59,399.35,423.56,448.15,470.32
0.049721,0.044119,0.045112,0.05453,0.080316,0.13748,0.24973,0.45084,0.78517,1.3078,2.0832,3.1846,4.6914,6.6866,9.2549,12.48,16.443,21.221,26.881,33.488,41.095,49.747,59.482,70.326,82.3,95.414,109.67,125.07,141.59,159.23,177.95,197.73,218.54,240.35,263.11,286.77,311.31,336.66,362.79,389.64,417.16,445.3,474,503.22,532.91,563,593.45,624.17,651.45
0.047816,0.043475,0.051435,0.081014,0.15419,0.308,0.59667,1.0921,1.8825,3.0707,4.7694,7.099,10.182,14.137,19.08,25.114,32.334,40.821,50.639,61.843,74.468,88.54,104.07,121.05,139.48,159.33,180.57,203.17,227.08,252.24,278.61,306.12,334.72,364.34,394.91,426.38,458.66,491.7,525.42,559.76,594.64,630.01,665.8,701.94,738.37,775.03,811.85,848.72,880.84
0.046817,0.04785,0.076876,0.16434,0.36783,0.77505,1.5039,2.6988,4.5243,7.1582,10.781,15.571,21.696,29.305,38.528,49.471,62.214,76.814,93.304,111.7,131.98,154.13,178.11,203.86,231.31,260.4,291.03,323.14,356.61,391.37,427.32,464.37,502.41,541.36,581.12,621.6,662.71,704.37,746.48,788.97,831.75,874.74,917.88,961.09,1004.3,1047.4,1090.4,1133.2,1169.5
0.048322,0.067746,0.16136,0.4164,0.97574,2.0357,3.8368,6.6485,10.751,16.422,23.914,33.454,45.229,59.384,76.016,95.184,116.9,141.16,167.9,197.05,228.52,262.19,297.94,335.64,375.14,416.32,459.02,503.1,548.42,594.84,642.24,690.47,739.41,788.95,838.96,889.34,939.98,990.78,1041.6,1092.5,1143.2,1193.8,1244,1294,1343.5,1392.5,1441,1488.9,1528.3
0.057716,0.13805,0.43054,1.1668,2.6796,5.3785,9.714,16.138,25.07,36.874,51.832,70.154,91.967,117.32,146.18,178.49,214.1,252.86,294.56,339.01,385.97,435.23,486.54,539.68,594.43,650.58,707.91,766.24,825.38,885.16,945.4,1006,1066.7,1127.5,1188.2,1248.7,1308.8,1368.6,1427.9,1486.5,1544.6,1601.8,1658.3,1713.9,1768.6,1822.3,1875,1926.5,1967.2
0.094698,0.37701,1.2772,3.3682,7.3682,14.051,24.161,38.337,57.071,80.701,109.38,143.13,181.86,225.36,273.33,325.46,381.36,440.66,502.95,567.86,635.01,704.05,774.64,846.47,919.24,992.69,1066.6,1140.7,1214.8,1288.7,1362.2,1435.3,1507.7,1579.3,1650,1719.8,1788.5,1856,1922.3,1987.3,2051,2113.3,2174.1,2233.4,2291.3,2347.6,2402.3,2455.2,2494.7
